cuenta|descri|cta_raiz|cta_niv3|cn_nivel|||
1210270100|EQUIPOS ELECTRICOS|1200000000|1210000000|5|||
1210280000|DEPRECIACION ACUMULADA DE EQUIPOS ELECTRICOS|1200000000|1210000000|4|||
1210280100|DEPRECIACION ACUMULADA DE EQUIPOS ELECTRICOS|1200000000|1210000000|5|||
1210290000|INSTALACIONES|1200000000|1210000000|4|||
1210290100|INSTALACIONES|1200000000|1210000000|5|||
1210300000|DEPRECIACION ACUMULADO DE INSTALACIONES|1200000000|1210000000|4|||
1210300100|DEPRECIACION ACUMULADO DE INSTALACIONES|1200000000|1210000000|5|||
1210310000|EQUIPOS E INSTALACIONES EN GENERAL|1200000000|1210000000|4|||
1210310100|EQUIPOS E INSTALACIONES EN GENERAL|1200000000|1210000000|5|||
1210320000|DEPECIACION ACUMULADA EN EQUIPOS E INSTALACIONES EN GENERAL |1200000000|1210000000|4|||
1210320100|DEPECIACION ACUMULADA EN EQUIPOS E INSTALACIONES EN GENERAL |1200000000|1210000000|5|||
1210330000|TINGLADOS Y COBERTIZOS DE METAL|1200000000|1210000000|4|||
1210330100|TINGLADOS Y COBERTIZOS DE METAL|1200000000|1210000000|5|||
1210340000|DEPECIACION ACUMULADA EN TINGLADOS Y COBERTIZOS DE METAL|1200000000|1210000000|4|||
1210340100|DEPECIACION ACUMULADA EN TINGLADOS Y COBERTIZOS DE METAL|1200000000|1210000000|5|||
1210350000|SILOS, ALMACENES Y GALPONES|1200000000|1210000000|4|||
1210350100|SILOS, ALMACENES Y GALPONES|1200000000|1210000000|5|||
1210360000|DEPECIACION ACUMULADA EN SILOS, ALMACENES Y GALPONES|1200000000|1210000000|4|||
1210360100|DEPECIACION ACUMULADA EN SILOS, ALMACENES Y GALPONES|1200000000|1210000000|5|||
1240000000|PROPIEDADES DE INVERSION|1200000000|1240000000|3|||
1250000000|ACTIVOS INTANGIBLES|1200000000|1250000000|3|||
1250010000|PATENTES Y MARCAS|1200000000|1250000000|4|||
1250010100|PATENTES Y MARCAS|1200000000|1250000000|5|||
1250020000|AMORTIZACION ACUMULADA PATENTES Y MARCAS|1200000000|1250000000|4|||
1250020100|AMORTIZACION ACUMULADA PATENTES Y MARCAS|1200000000|1250000000|5|||
1250030000|DERECHOS DE LLAVE|1200000000|1250000000|4|||
1250030100|DERECHOS DE LLAVE|1200000000|1250000000|5|||
1250040000|AMORTIZACION ACUMULADA DERECHO DE LLAVE|1200000000|1250000000|4|||
1250040100|AMORTIZACION ACUMULADA DERECHO DE LLAVE|1200000000|1250000000|5|||
1260000000|INVERSIONES PERMANENTES|1200000000|1260000000|3|||
1260000100|INVERSIONES PERMANENTES|1200000000|1260000000|5|||
1260000101|INVERSIONES PERMANENTES|1200000000|1260000000|6|||
1270000000|ACTIVOS DIFERIDOS|1200000000|1270000000|3|||
1280000000|OTROS ACTIVOS NO CORRIENTES|1200000000|1280000000|3|||
2000000000|PASIVOS|2000000000||1|||
2100000000|PASIVOS CORRIENTES|2100000000||2|||
2110000000|OBLIGACIONES A PAGAR|2100000000|2110000000|3|||
2110010000|CUENTAS POR PAGAR|2100000000|2110000000|4|||
2110010100|CUENTAS POR PAGAR|2100000000|2110000000|5|||
2110010200|CUENTAS POR PAGAR COMERCIALES|2100000000|2110000000|5|||
2110010300|CUENTAS POR PAGAR PROVEEDORES DE BIENES |2100000000|2110000000|5|||
2110010400|CUENTAS POR PAGAR PROVEEDORES DE SERVICIOS |2100000000|2110000000|5|||
2110010500|CUENTAS POR PAGAR OTROS|2100000000|2110000000|5|||
2110010600|CUENTAS POR PAGAR PRESTAMOS EXSMECON|2100000000|2110000000|5|||
2110020000|DOCUMENTOS POR PAGAR|2100000000|2110000000|4|||
2110020100|DOCUMENTOS POR PAGAR|2100000000|2110000000|5|||
2120000000|OBLIGACIONES BANCARIAS Y FINANCIERAS A CORTO PLAZO|2100000000|2120000000|3|||
2120010000|PRESTAMOS BANCARIOS A CORTO PLAZO|2100000000|2120000000|4|||
2120010100|PRESTAMOS BANCARIOS A CORTO PLAZO|2100000000|2120000000|5|||
2120020000|OTROS PASIVOS FINANCIEROS|2100000000|2120000000|4|||
2120020100|OTROS PASIVOS FINANCIEROS|2100000000|2120000000|5|||
2120030000|INTERESES POR PAGAR|2100000000|2120000000|4|||
2120030100|INTERESES POR PAGAR|2100000000|2120000000|5|||
2120030200|POLIZAS POR PAGAR|2100000000|2120000000|5|||
2130000000|OBLIGACIONES SOCIALES Y FISCALES|2100000000|2130000000|3|||
2130010000|SUELDOS POR PAGAR|2100000000|2130000000|4|||
2130010100|SUELDOS POR PAGAR|2100000000|2130000000|5|||
2130020000|BENEFICIOS SOCIALES POR PAGAR|2100000000|2130000000|4|||
2130020100|PROVISION PARA AGUINALDOS  POR PAGAR|2100000000|2130000000|5|||
2130020200|FINIQUITOS POR PAGAR|2100000000|2130000000|5|||
2130030000|CARGAS SOCIALES|2100000000|2130000000|4|||
2130030100|CARGAS SOCIALES|2100000000|2130000000|5|||
2130030200|FONDO SOCIAL |2100000000|2130000000|5|||
2130030300|AFPS|2100000000|2130000000|5|||
2130030400|APORTES PATRONALES POR PAGAR - GESTORA PUBLICA|2100000000|2130000000|5|||
2130030500|APORTES PATRONALES POR PAGAR - CPS|2100000000|2130000000|5|||
2130030600|APORTES LABORALES POR PAGAR - GESTORA PUBLICA|2100000000|2130000000|5|||
2140000000|TRIBUTOS POR PAGAR|2100000000|2140000000|3|||
2140010000|DEBITO FISCAL - IVA|2100000000|2140000000|4|||
2140010100|DEBITO FISCAL - IVA|2100000000|2140000000|5|||
2140020000|IMPUESTO A LAS TRANSACCIONES POR PAGAR|2100000000|2140000000|4|||
2140020100|IMPUESTO A LAS TRANSACCIONES POR PAGAR|2100000000|2140000000|5|||
2140030000|IMPUESTO SOBRE LAS UTILIDADES DE LAS EMPRESAS POR PAGAR|2100000000|2140000000|4|||
2140030100|IMPUESTO SOBRE LAS UTILIDADES DE LAS EMPRESAS POR PAGAR|2100000000|2140000000|5|||
2140040000|RETENCIONES POR PAGAR|2100000000|2140000000|4|||
2140040100|RETENCIONES IUE FORM.570 POR PAGAR|2100000000|2140000000|5|||
2140040200|RETENCIONES RC-IVA FORM 604 POR PAGAR |2100000000|2140000000|5|||
2140040300|RETENCIONES RC-IVA FORM 608 POR PAGAR|2100000000|2140000000|5|||
2140040400|REGALIAS MINERAS POR PAGAR|2100000000|2140000000|5|||
2140040500|RETENCIONES POR PAGAR CAJA NACIONAL DE SALUD|2100000000|2140000000|5|||
2150000000|OTROS IMPUESTOS POR PAGAR|2100000000|2150000000|3|||
2150010000|IMPUESTOS MUNICIPALES POR PAGAR|2100000000|2150000000|4|||
